Employee_ID,Department_ID,Role_ID,Education_ID,Age,Job_Tenure,Distance_From_Home,Training_Hours,Performance_Rating,Last_Promotion_Year,Years_Since_Promotion,Work_Life_Balance,Job_Satisfaction,Exit_Interview_Score,Attrition_Risk_Score,Attrition_Flag,Salary_Band,Tenure_Bucket,Age_Group,Distance_Band,Promo_Gap_Bucket,Risk_Segment,Performance_Category,Satisfaction_Category,WLB_Category,Exit_Score_Category,Gender_Clean,Marital_Status
1,1,1,1,22,1,8,28,2,2019,5,3,1,,3.316,0,Band 1 – Low,0–2 yrs,18–25,Near (≤10 km),3–5 yrs,High Risk,Below Average,Very Low,Fair,N/A (Still Employed),Male,Married
2,2,2,2,38,18,32,174,4,2022,2,3,2,3.0,2.514,0,Band 4 – High,11–20 yrs,36–45,Far (26–50 km),0–2 yrs,Medium Risk,Good,Low,Fair,Moderate Dissatisfaction,Male,Married
3,3,3,3,35,4,42,119,1,2022,2,5,4,,2.034,0,Band 1 – Low,3–5 yrs,26–35,Far (26–50 km),0–2 yrs,Low Risk,Needs Improvement,High,Excellent,N/A (Still Employed),Non-Binary / Other,Divorced
4,4,3,3,37,5,43,82,4,2015,9,4,1,,2.936,0,Band 2 – Mid-Low,3–5 yrs,36–45,Far (26–50 km),9–12 yrs,Medium Risk,Good,Very Low,Good,N/A (Still Employed),Male,Divorced
5,5,4,2,26,10,33,46,3,2014,10,2,4,,2.766,0,Band 2 – Mid-Low,6–10 yrs,26–35,Far (26–50 km),9–12 yrs,Medium Risk,Average,High,Poor,N/A (Still Employed),Female,Single
6,4,1,2,44,15,15,16,1,2011,13,1,1,,4.43,0,Band 3 – Mid-High,11–20 yrs,36–45,Medium (11–25 km),12+ yrs,High Risk,Needs Improvement,Very Low,Very Poor,N/A (Still Employed),Female,Single
7,6,2,1,38,7,2,93,1,2010,14,5,4,,2.554,0,Band 1 – Low,6–10 yrs,36–45,Near (≤10 km),12+ yrs,Medium Risk,Needs Improvement,High,Excellent,N/A (Still Employed),Non-Binary / Other,Single
8,2,1,1,28,19,38,165,5,2017,7,4,2,,2.326,0,Band 4 – High,11–20 yrs,26–35,Far (26–50 km),6–8 yrs,Low Risk,Outstanding,Low,Good,N/A (Still Employed),Female,Married
9,6,2,3,22,12,37,102,1,2024,0,2,4,,2.674,0,Band 2 – Mid-Low,11–20 yrs,18–25,Far (26–50 km),0–2 yrs,Medium Risk,Needs Improvement,High,Poor,N/A (Still Employed),Non-Binary / Other,Single
10,5,5,1,25,2,37,95,4,2020,4,5,1,,2.424,0,Band 1 – Low,0–2 yrs,18–25,Far (26–50 km),3–5 yrs,Medium Risk,Good,Very Low,Excellent,N/A (Still Employed),Male,Divorced
11,4,4,2,46,1,31,114,5,2012,12,5,4,2.0,1.712,0,Band 1 – Low,0–2 yrs,46–55,Far (26–50 km),9–12 yrs,Low Risk,Outstanding,High,Excellent,High Dissatisfaction,Female,Married
12,1,3,1,50,7,18,176,2,2017,7,2,4,,2.786,0,Band 1 – Low,6–10 yrs,46–55,Medium (11–25 km),6–8 yrs,Medium Risk,Below Average,High,Poor,N/A (Still Employed),Non-Binary / Other,Married
13,6,4,2,48,7,45,105,1,2020,4,4,4,3.0,2.39,0,Band 1 – Low,6–10 yrs,46–55,Far (26–50 km),3–5 yrs,Medium Risk,Needs Improvement,High,Good,Moderate Dissatisfaction,Male,Single
14,1,5,3,32,10,48,130,2,2012,12,3,2,,3.446,0,Band 2 – Mid-Low,6–10 yrs,26–35,Far (26–50 km),9–12 yrs,High Risk,Below Average,Low,Fair,N/A (Still Employed),Female,Divorced
15,6,6,3,48,6,7,85,3,2018,6,3,2,,2.864,0,Band 2 – Mid-Low,6–10 yrs,46–55,Near (≤10 km),6–8 yrs,Medium Risk,Average,Low,Fair,N/A (Still Employed),Female,Single
16,2,4,1,53,8,38,169,2,2014,10,2,4,,2.976,0,Band 2 – Mid-Low,6–10 yrs,46–55,Far (26–50 km),9–12 yrs,High Risk,Below Average,High,Poor,N/A (Still Employed),Male,Married
17,2,4,3,46,9,12,17,1,2019,5,3,5,,2.324,0,Band 2 – Mid-Low,6–10 yrs,46–55,Medium (11–25 km),3–5 yrs,Low Risk,Needs Improvement,Very High,Fair,N/A (Still Employed),Female,Single
18,5,5,3,44,6,25,51,2,2018,6,5,1,,2.9,0,Band 1 – Low,6–10 yrs,36–45,Medium (11–25 km),6–8 yrs,Medium Risk,Below Average,Very Low,Excellent,N/A (Still Employed),Male,Married
19,4,4,1,56,11,31,104,1,2020,4,5,1,,3.012,0,Band 2 – Mid-Low,11–20 yrs,55+,Far (26–50 km),3–5 yrs,High Risk,Needs Improvement,Very Low,Excellent,N/A (Still Employed),Female,Married
20,2,4,3,46,18,42,21,1,2012,12,3,2,,3.634,0,Band 3 – Mid-High,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,High Risk,Needs Improvement,Low,Fair,N/A (Still Employed),Non-Binary / Other,Divorced
21,6,5,2,28,8,45,84,5,2014,10,1,5,,2.34,0,Band 3 – Mid-High,6–10 yrs,26–35,Far (26–50 km),9–12 yrs,Low Risk,Outstanding,Very High,Very Poor,N/A (Still Employed),Male,Divorced
