CustomerKey,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
11000,271,3,8248.99,1,4,4,9,Loyal
11001,50,3,6383.879999999999,4,4,4,12,Champions
11002,340,3,8114.04,1,4,4,9,Loyal
11003,264,3,8139.29,2,4,4,10,Loyal
11004,273,3,8196.01,1,4,4,9,Loyal
11005,272,3,8121.33,1,4,4,9,Loyal
11006,260,3,8119.03,2,4,4,10,Loyal
11007,316,3,8211.0,1,4,4,9,Loyal
11008,333,3,8106.3099999999995,1,4,4,9,Loyal
11009,265,3,8091.33,1,4,4,9,Loyal
11010,251,3,8088.04,2,4,4,10,Loyal
11011,316,3,8133.04,1,4,4,9,Loyal
11012,106,2,81.26,3,3,2,8,Potential Loyalist
11013,8,2,113.96000000000001,4,3,2,9,Loyal
11014,274,2,138.45000000000002,1,3,2,6,At Risk
11015,376,1,2500.97,1,1,3,5,At Risk
11016,354,1,2332.2799999999997,1,1,3,5,At Risk
11017,107,3,6434.3099999999995,3,4,4,11,Champions
11018,97,3,6533.28,3,4,4,11,Champions
11019,17,17,882.7,4,4,3,11,Champions
11020,396,1,2316.97,1,1,3,5,At Risk
11021,371,1,2371.9599999999996,1,1,3,5,At Risk
11022,374,1,2322.2799999999997,1,1,3,5,At Risk
11023,15,2,122.24,4,3,2,9,Loyal
11024,187,2,56.510000000000005,2,3,2,7,Potential Loyalist
11025,96,3,6576.799999999999,3,4,4,11,Champions
11026,106,3,6575.79,3,4,4,11,Champions
11027,97,3,6591.57,3,4,4,11,Champions
11028,114,3,6474.62,3,4,4,11,Champions
11029,79,3,6565.29,4,4,4,12,Champions
11030,81,3,6471.32,4,4,4,12,Champions
11031,77,3,6478.599999999999,4,4,4,12,Champions
11032,82,3,6525.5599999999995,4,4,4,12,Champions
11033,85,3,6495.29,4,4,4,12,Champions
11034,80,3,6491.32,4,4,4,12,Champions
11035,75,3,6451.3099999999995,4,4,4,12,Champions
11036,372,1,2354.9799999999996,1,1,3,5,At Risk
11037,374,1,2374.2299999999996,1,1,3,5,At Risk
11038,78,3,6437.33,4,4,4,12,Champions
11039,79,3,6636.58,4,4,4,12,Champions
11040,301,1,2350.9599999999996,1,1,3,5,At Risk
11041,380,1,2380.47,1,1,3,5,At Risk
11042,104,2,3112.33,3,3,4,10,Loyal
11043,164,2,47.980000000000004,3,3,1,7,Potential Loyalist
11044,82,3,6515.299999999999,4,4,4,12,Champions
11045,92,2,114.96000000000001,3,3,2,8,Potential Loyalist
11046,78,3,6616.8099999999995,4,4,4,12,Champions
11047,71,3,6582.33,4,4,4,12,Champions
11048,35,3,6498.24,4,4,4,12,Champions
11049,92,2,81.26,3,3,2,8,Potential Loyalist
11050,71,3,5007.3,4,4,4,12,Champions
11051,28,2,123.95,4,3,2,9,Loyal
11052,247,3,8131.32,2,4,4,10,Loyal
11053,377,1,2329.9799999999996,1,1,3,5,At Risk
11054,244,3,8223.02,2,4,4,10,Loyal
11055,236,3,8168.009999999999,2,4,4,10,Loyal
11056,243,3,8207.5,2,4,4,10,Loyal
11057,253,3,8088.04,2,4,4,10,Loyal
11058,239,3,8248.019999999999,2,4,4,10,Loyal
11059,319,3,116.93,1,4,2,7,Potential Loyalist
11060,218,3,8153.0199999999995,2,4,4,10,Loyal
11061,229,3,8129.0199999999995,2,4,4,10,Loyal
11062,387,1,2351.9599999999996,1,1,3,5,At Risk
11063,382,1,2372.95,1,1,3,5,At Risk
11064,369,1,2304.9799999999996,1,1,3,5,At Risk
11065,19,2,202.57,4,3,2,9,Loyal
11066,132,2,81.26,3,3,2,8,Potential Loyalist
11067,17,2,105.75,4,3,2,9,Loyal
11068,113,3,113.36,3,4,2,9,Loyal
11069,239,3,8104.049999999999,2,4,4,10,Loyal
11070,217,3,8165.55,2,4,4,10,Loyal
11071,59,3,110.23,4,4,2,10,Loyal
11072,228,3,8194.0,2,4,4,10,Loyal
11073,161,3,191.9,3,4,2,9,Loyal
11074,247,3,94.19,2,4,2,8,Potential Loyalist
11075,219,3,8068.03,2,4,4,10,Loyal
11076,222,3,8159.039999999999,2,4,4,10,Loyal
11077,231,3,8169.03,2,4,4,10,Loyal
11078,1,17,913.27,4,4,3,11,Champions
11079,28,3,57.95,4,4,2,10,Loyal
11080,220,3,8204.019999999999,2,4,4,10,Loyal
11081,291,2,104.26,1,3,2,6,At Risk
11082,84,2,3110.81,4,3,4,11,Champions
11083,82,2,3137.3199999999997,4,3,4,11,Champions
11084,69,2,3078.6099999999997,4,3,4,11,Champions
11085,21,2,128.96,4,3,2,9,Loyal
11086,39,2,153.45000000000002,4,3,2,9,Loyal
11087,173,2,200.28,2,3,2,7,Potential Loyalist
11088,78,2,3176.7799999999997,4,3,4,11,Champions
11089,72,2,3188.2799999999997,4,3,4,11,Champions
11090,69,3,6704.08,4,4,4,12,Champions
11091,21,28,1189.33,4,4,3,11,Champions
