FullDate,DateKey,Year,Quarter,QuarterName,Month,MonthName,MonthShort,WeekOfYear,DayOfWeek,DayName,DayOfMonth,IsWeekend,YearMonth,YearQuarter,FiscalYear,FiscalQuarter,IsHoliday,Season
2010-01-01,20100101,2010,1,Q1,1,January,Jan,53,5,Friday,1,0,2010-01,2010-Q1,FY2009,FQ3,1,Winter
2010-01-02,20100102,2010,1,Q1,1,January,Jan,53,6,Saturday,2,1,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-03,20100103,2010,1,Q1,1,January,Jan,53,7,Sunday,3,1,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-04,20100104,2010,1,Q1,1,January,Jan,1,1,Monday,4,0,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-05,20100105,2010,1,Q1,1,January,Jan,1,2,Tuesday,5,0,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-06,20100106,2010,1,Q1,1,January,Jan,1,3,Wednesday,6,0,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-07,20100107,2010,1,Q1,1,January,Jan,1,4,Thursday,7,0,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-08,20100108,2010,1,Q1,1,January,Jan,1,5,Friday,8,0,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-09,20100109,2010,1,Q1,1,January,Jan,1,6,Saturday,9,1,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-10,20100110,2010,1,Q1,1,January,Jan,1,7,Sunday,10,1,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-11,20100111,2010,1,Q1,1,January,Jan,2,1,Monday,11,0,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-12,20100112,2010,1,Q1,1,January,Jan,2,2,Tuesday,12,0,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-13,20100113,2010,1,Q1,1,January,Jan,2,3,Wednesday,13,0,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-14,20100114,2010,1,Q1,1,January,Jan,2,4,Thursday,14,0,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-15,20100115,2010,1,Q1,1,January,Jan,2,5,Friday,15,0,2010-01,2010-Q1,FY2009,FQ3,0,Winter
2010-01-16,20100116,2010,1,Q1,1,January,Jan,2,6,Saturday,16,1,2010-01,2010-Q1,FY2009,FQ3,0,Winter
